id	type	azimut	dip	latitude	longitude	date	fieldbook
5	s	335.6	85.1	50.511058	6.987025	16/03/2012 @ 11:56:21	
6	s	338.3	79.4	50.511058	6.987025	16/03/2012 @ 11:56:26	
7	s	336.5	78.9	50.511058	6.987025	16/03/2012 @ 11:56:28	
8	s	334.5	71.0	50.511051	6.987023	16/03/2012 @ 11:56:32	
9	s	339.7	71.2	50.511051	6.987023	16/03/2012 @ 11:56:34	
10	s	336.3	71.4	50.511051	6.987023	16/03/2012 @ 11:56:38	
11	s	332.5	69.0	50.511051	6.987023	16/03/2012 @ 11:56:41	
12	s	337.0	61.7	50.511051	6.987023	16/03/2012 @ 11:56:44	
13	s	335.1	58.8	50.511051	6.987023	16/03/2012 @ 11:56:47	
14	s	338.3	58.1	50.511051	6.987023	16/03/2012 @ 11:56:53	
15	s	332.7	76.2	50.511065	6.987028	16/03/2012 @ 11:57:01	
16	s	331.4	24.2	50.511066	6.986975	16/03/2012 @ 12:02:05	
17	s	107.2	.2	50.511066	6.986975	16/03/2012 @ 12:02:16	
18	s	175.2	17.4	50.511022	6.987005	16/03/2012 @ 12:02:24	
19	s	171.2	17.0	50.511022	6.987005	16/03/2012 @ 12:02:30	
20	s	171.7	14.5	50.511022	6.987005	16/03/2012 @ 12:02:36	
21	s	181.8	17.1	50.510988	6.986969	16/03/2012 @ 12:09:29	
22	s	182.4	16.9	50.510927	6.987058	16/03/2012 @ 12:09:50	
23	s	202.9	10.1	50.510952	6.987026	16/03/2012 @ 12:09:58	
24	s	185.7	22.1	50.510944	6.987083	16/03/2012 @ 12:15:27	
25	s	186.0	20.8	50.510981	6.986934	16/03/2012 @ 12:15:34	
26	s	173.7	20.8	50.511003	6.986995	16/03/2012 @ 12:16:04	
27	s	191.5	24.4	50.510949	6.986970	16/03/2012 @ 12:24:11	
